집계 일시,NODE_ID,ACSR_ID,LANE_NO,TRF_QNTY,AVG_SPD,OCPN_RATE,LOS,VC,KLOS,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0001,ACSR000001,2,84,100.78,0,0,63.88,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0001,ACSR000002,1,11,89.58,0,0,64.39,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0001,ACSR000003,9,19,128.63,0,0,12.76,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0002,ACSR000001,7,83,73.42,187.77,17.12,68.36,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0002,ACSR000002,3,44,73.88,0,0,53.44,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0002,ACSR000003,0,25,61.58,0,0,18.4,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0002,ACSR000004,3,58,81.25,0,0,84.06,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0003,ACSR000001,1,48,62.84,0,0,43.37,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0003,ACSR000002,1,6,30.62,0,0,18.95,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0003,ACSR000003,1,38,54.04,0,0,84.76,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0003,ACSR000004,2,50,52.29,0,0,32.88,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0004,ACSR000001,5,58,86.52,28.92,9.64,66.79,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0004,ACSR000002,5,7,62.49,5.21,27.73,46.67,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0004,ACSR000003,2,20,86.02,9.28,18.13,19.79,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0004,ACSR000004,0,23,37.65,13.87,11.84,106.98,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0005,ACSR000001,0,62,64.43,46.24,4.68,106.44,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0005,ACSR000002,2,10,36.91,0,39.68,71.43,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0005,ACSR000003,0,25,54.43,18.17,12.08,38.46,999.9,,,,,,,,,,,,,,,
오전 8:00:00,SH009N0005,ACSR000004,1,13,63.66,1.99,13.01,53.98,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0001,ACSR000001,2,122,119.4,0,0,92.78,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0001,ACSR000002,1,6,86.5,0,0,35.12,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0001,ACSR000003,9,19,136.22,0,0,12.76,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0002,ACSR000001,6,122,81.86,385.16,18.24,100.48,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0002,ACSR000002,17,41,82.96,0,0,49.8,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0002,ACSR000003,5,20,86.36,0,0,14.72,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0002,ACSR000004,10,74,80.38,0,0,107.25,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0003,ACSR000001,3,48,66.86,0,0,43.37,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0003,ACSR000002,4,17,26.21,0,0,53.68,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0003,ACSR000003,7,46,69.34,0,0,102.6,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0003,ACSR000004,2,44,52.14,0,0,28.93,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0004,ACSR000001,1,89,89.01,119.31,11.69,102.5,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0004,ACSR000002,4,5,51.89,0,32.86,33.33,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0004,ACSR000003,0,28,78.82,15.1,10.07,27.7,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0004,ACSR000004,2,26,37.04,24.14,15.54,120.93,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0005,ACSR000001,2,58,66.4,43.26,5.08,99.57,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0005,ACSR000002,1,9,49.87,0,2.92,64.29,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0005,ACSR000003,0,32,53.93,23.67,11.44,49.23,999.9,,,,,,,,,,,,,,,
오전 8:05:00,SH009N0005,ACSR000004,2,13,79.5,4.42,6.57,53.98,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0001,ACSR000001,3,132,104.58,0,0,100.38,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0001,ACSR000002,1,10,94.18,0,0,58.54,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0001,ACSR000003,1,38,130,0,0,25.52,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0002,ACSR000001,2,119,85.41,131.48,8.09,98.01,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0002,ACSR000002,16,38,61.75,0,0,46.15,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0002,ACSR000003,3,37,83.44,0,0,27.24,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0002,ACSR000004,12,50,68.73,0,0,72.46,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0003,ACSR000001,3,22,64.7,0,0,19.88,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0003,ACSR000002,1,13,27.29,0,0,41.05,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0003,ACSR000003,5,26,68.57,0,0,57.99,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0003,ACSR000004,2,66,45.1,0,0,43.4,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0004,ACSR000001,1,112,99.99,94.55,6.4,128.98,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0004,ACSR000002,2,9,51.55,0,23.92,60,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0004,ACSR000003,0,31,80.34,8.81,19.86,30.67,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0004,ACSR000004,3,17,38.64,4.07,8.12,79.07,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0005,ACSR000001,2,60,67.49,38.54,6.22,103,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0005,ACSR000002,1,14,44.83,0,10,100,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0005,ACSR000003,1,40,55.94,15.92,10.24,61.54,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0005,ACSR000004,0,10,75.15,1.7,13.99,41.52,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0001,ACSR000001,4,98,94.16,0,0,74.52,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0001,ACSR000002,0,7,80.97,0,0,40.98,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0001,ACSR000003,3,26,124.67,0,0,17.46,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0002,ACSR000001,7,89,85.19,88.53,15.02,73.3,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0002,ACSR000002,12,67,71.86,0,0,81.38,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0002,ACSR000003,6,14,90.17,0,0,10.31,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0002,ACSR000004,2,68,75.3,0,0,98.55,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0003,ACSR000001,1,61,56.07,0,0,55.12,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0003,ACSR000002,6,13,34.56,0,0,41.05,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0003,ACSR000003,2,47,81.53,0,0,104.83,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0003,ACSR000004,6,53,49.65,0,0,34.85,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0004,ACSR000001,2,63,89.13,32.66,12.89,72.55,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0004,ACSR000002,3,9,62.8,0,13.33,60,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0004,ACSR000003,2,28,84.86,6.39,9.62,27.7,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0004,ACSR000004,1,21,44.83,7.91,7.85,97.67,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0005,ACSR000001,1,41,74.39,28.08,5.45,70.39,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0005,ACSR000002,2,14,45.84,0,19.12,100,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0005,ACSR000003,2,30,51.58,11.03,5.85,46.15,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0005,ACSR000004,2,15,67.41,19.98,7.45,62.28,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0001,ACSR000001,2,103,112.24,0,0,78.33,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0001,ACSR000002,2,5,237.33,0,0,29.27,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0001,ACSR000003,3,35,139.69,0,0,23.5,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0002,ACSR000001,11,103,91.31,190.55,13.7,84.83,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0002,ACSR000002,18,49,63.81,0,0,59.51,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0002,ACSR000003,16,33,132.03,0,0,24.29,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0002,ACSR000004,23,73,84.36,0,0,105.8,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0003,ACSR000001,0,58,58.84,0,0,52.41,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0003,ACSR000002,2,17,40.79,0,0,53.68,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0003,ACSR000003,3,48,73.58,0,0,107.06,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0003,ACSR000004,1,48,48.82,0,0,31.56,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0004,ACSR000001,3,74,91.06,113.76,13.94,85.22,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0004,ACSR000002,3,7,55.25,0,32.64,46.67,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0004,ACSR000003,1,40,86.28,38.63,13.7,39.57,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0004,ACSR000004,4,14,39.37,3.55,9.03,65.12,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0005,ACSR000001,3,56,62.6,51.33,8.4,96.14,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0005,ACSR000002,1,4,37.34,0,9.79,28.57,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0005,ACSR000003,1,37,55.27,30.66,10.36,56.92,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0005,ACSR000004,2,17,64.31,15.42,13.17,70.59,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0001,ACSR000001,8,128,112.99,0,0,97.34,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0001,ACSR000002,1,4,102.85,0,0,23.41,999.9,,,,,,,,,,,,,,,
