TOT_DT,NODE_ID,ACSR_ID,DRCT_CD,LANE_NO,VKND_CD,TRF_QNTY,AVG_SPD,OCPN_RATE,RQRD_MS
25-9-20 오후 2:00,SH001N0001,ACSR000002,2,2,2,5,90.98,0,30442
25-9-20 오후 2:00,SH001N0001,ACSR000002,2,2,4,2,44.17,0,50354
25-9-20 오후 2:00,SH001N0001,ACSR000002,2,3,10,2,83.95,0,20022
25-9-20 오후 2:00,SH001N0001,ACSR000002,2,3,2,8,84.26,221.95,31145
25-9-20 오후 2:00,SH001N0001,ACSR000002,2,4,10,2,61.13,0,19668
25-9-20 오후 2:00,SH001N0001,ACSR000002,2,4,2,1,156.46,0,2417
25-9-20 오후 2:00,SH001N0001,ACSR000003,2,2,2,5,81.52,0,19425
25-9-20 오후 2:00,SH001N0001,ACSR000003,2,3,10,3,88.41,0,11652
25-9-20 오후 2:00,SH001N0001,ACSR000003,2,3,2,3,128.17,0,2551
25-9-20 오후 2:00,SH001N0001,ACSR000003,2,3,4,3,102.99,0,3692
25-9-20 오후 2:00,SH001N0001,ACSR000003,2,3,8,1,50.18,0,45886
25-9-20 오후 2:00,SH001N0002,ACSR000001,2,2,2,1,66.7,0,0
25-9-20 오후 2:00,SH001N0002,ACSR000001,2,3,2,3,60.2,0,0
25-9-20 오후 2:00,SH001N0002,ACSR000002,2,1,2,1,16.12,0,35358
25-9-20 오후 2:00,SH001N0002,ACSR000002,2,2,2,1,10.5,0,38051
25-9-20 오후 2:00,SH001N0002,ACSR000003,1,1,2,1,56.58,0,0
25-9-20 오후 2:00,SH001N0002,ACSR000003,2,2,1,1,126.6,0,0
25-9-20 오후 2:00,SH001N0002,ACSR000003,2,2,2,3,126.23,0,0
25-9-20 오후 2:00,SH001N0002,ACSR000003,2,3,10,2,78.02,0,0
25-9-20 오후 2:00,SH001N0002,ACSR000003,2,3,2,3,77.86,0,0
25-9-20 오후 2:00,SH001N0002,ACSR000004,1,1,2,3,96.43,0,3455
25-9-20 오후 2:00,SH001N0002,ACSR000004,1,1,4,1,93.08,0,4967
25-9-20 오후 2:00,SH001N0003,ACSR000002,1,1,4,1,48.24,0,22837
25-9-20 오후 2:00,SH001N0003,ACSR000002,2,2,2,1,104.64,0,3112
25-9-20 오후 2:00,SH001N0003,ACSR000002,2,2,4,1,83.62,0,3708
25-9-20 오후 2:00,SH001N0003,ACSR000002,2,3,2,5,67.98,0,3463
25-9-20 오후 2:00,SH001N0003,ACSR000002,2,3,40,1,115.18,0,0
25-9-20 오후 2:00,SH001N0003,ACSR000002,4,1,8,1,33.84,0,25143
25-9-20 오후 2:00,SH001N0003,ACSR000003,3,1,2,1,-1,0,0
25-9-20 오후 2:00,SH001N0003,ACSR000004,1,1,4,2,20.93,0,22227
25-9-20 오후 2:00,SH001N0003,ACSR000004,2,2,2,3,49.26,0,2783
25-9-20 오후 2:00,SH001N0003,ACSR000004,2,3,10,1,33.18,0,0
25-9-20 오후 2:00,SH001N0003,ACSR000004,2,3,2,5,60.98,0,3352
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,3,10,4,40.93,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,3,2,14,56.64,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,3,4,3,34.31,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,4,2,17,48.35,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,4,4,2,56.11,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,5,2,21,50.73,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,5,4,2,44.22,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,6,10,1,60.54,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,6,2,16,48.19,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,6,4,2,38.81,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,6,8,2,59.91,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,7,2,15,56.22,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,7,4,2,62.28,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,8,1,1,-1,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,8,2,12,57.05,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,9,2,12,12.24,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,9,4,2,15.16,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000001,2,9,8,1,-1,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000002,3,4,2,1,-1,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,3,10,1,74.2,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,3,2,6,75.62,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,3,4,1,67.42,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,3,8,4,65.25,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,4,10,3,63.03,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,4,2,7,50.61,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,4,4,4,66.24,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,4,8,5,60.86,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,5,10,2,131.32,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,5,2,8,75.98,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,5,4,2,64.8,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,5,8,3,51.17,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,6,10,3,56.06,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,6,2,11,55.69,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,6,4,1,32.18,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,6,8,1,80.96,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,7,10,1,63.86,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,7,2,12,64.32,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,7,4,2,96.52,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,8,10,1,51.78,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,8,2,4,64.75,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,8,4,1,66.16,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,2,8,8,2,53.74,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000003,3,9,2,4,48.09,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000004,2,3,1,1,-1,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000004,3,5,10,1,-1,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000004,3,5,2,1,-1,0,0
25-9-20 오후 2:00,SH001N0004,ACSR000004,3,5,4,1,-1,0,0
