TOT_DT,LINK_ID,LANE_NO,TRF_QNTY,AVG_SPD,OCPN_RATE
2024-11-29 00:00:00,2240007900,1,4.0,96.2,0.27
2024-11-29 00:00:00,2240014201,1,6.0,102.9,0.356
2024-11-29 00:00:00,2240014201,2,24.0,85.5,1.692
2024-11-29 00:00:00,2240014201,3,27.0,89.0,1.882
2024-11-29 00:00:00,2240014201,4,20.0,93.9,1.33
2024-11-29 00:00:00,2240157100,1,2.0,95.4,0.506
2024-11-29 00:00:00,2240157100,2,10.0,91.5,0.852
2024-11-29 00:00:00,2240157100,3,7.0,85.0,1.216
2024-11-29 00:00:00,2240157300,1,6.0,95.55,0.478
2024-11-29 00:00:00,2240157300,2,19.0,85.95,1.341
2024-11-29 00:00:00,2240157400,1,4.0,95.7,0.45
2024-11-29 00:00:00,2240157400,2,9.0,80.4,1.83
2024-11-29 00:00:00,2240157400,3,4.0,86.1,1.264
2024-11-29 00:00:00,2240157900,1,28.0,91.57,0.8747
2024-11-29 00:00:00,2240157900,2,29.0,92.37,0.808
2024-11-29 00:00:00,2240157900,3,18.0,87.6,1.0267
2024-11-29 00:00:00,2240160800,1,8.0,98.0,0.44
2024-11-29 00:00:00,2240160800,2,29.0,91.3,2.189
2024-11-29 00:00:00,2240160800,3,5.0,98.05,0.429
2024-11-29 00:00:00,2240160900,1,16.0,96.95,1.063
2024-11-29 00:00:00,2240160900,2,37.0,83.5,2.512
2024-11-29 00:00:00,2240160900,3,32.0,76.6,2.652
2024-11-29 00:00:00,2240014101,4,8.0,88.0,0.678
2024-11-29 00:00:00,2240014101,3,19.0,78.7,1.48
2024-11-29 00:00:00,2240157300,3,11.0,85.55,1.24
2024-11-29 00:00:00,2240014101,1,4.0,97.7,0.26
2024-11-29 00:00:00,2240014101,2,19.0,83.0,1.512
2024-11-29 00:00:00,2240007900,3,13.0,90.9,0.988
2024-11-29 00:00:00,2240007900,4,8.0,94.9,0.548
2024-11-29 00:00:00,2240007900,5,1.0,98.3,0.072
2024-11-29 00:00:00,2240009900,1,4.0,103.4,0.216
2024-11-29 00:00:00,2240009900,2,15.0,92.4,1.056
2024-11-29 00:00:00,2240009900,3,11.0,83.6,0.822
2024-11-29 00:00:00,2240009900,4,4.0,97.0,0.31
2024-11-29 00:00:00,2240010000,1,9.0,102.5,0.258
2024-11-29 00:00:00,2240010000,2,28.0,92.3,0.897
2024-11-29 00:00:00,2240010000,3,28.0,90.8,0.992
2024-11-29 00:00:00,2240007900,2,12.0,85.8,0.828
2024-11-29 00:00:00,2240010000,5,1.0,98.3,0.072
2024-11-29 00:00:00,2240012900,1,4.0,103.4,0.216
2024-11-29 00:00:00,2240012900,2,15.0,92.4,1.056
2024-11-29 00:00:00,2240012900,3,11.0,83.6,0.822
2024-11-29 00:00:00,2240012900,4,4.0,97.0,0.31
2024-11-29 00:00:00,2240013000,1,5.0,108.8,0.246
2024-11-29 00:00:00,2240013000,2,16.0,98.8,0.966
2024-11-29 00:00:00,2240013000,3,15.0,90.7,0.996
2024-11-29 00:00:00,2240013000,4,1.0,96.9,0.086
2024-11-29 00:00:00,2240010000,4,9.0,95.9,0.317
2024-11-29 00:05:00,2240014101,4,13.0,84.7,0.958
