TOT_DT,LINK_ID,LANE_NO,TRF_QNTY,AVG_SPD,OCPN_RATE
2024-12-12 23:30:00,2240007900,1,4.0,97.38,0.3175
2024-12-12 23:35:00,2240007900,1,10.0,98.9,0.616
2024-12-12 23:40:00,2240007900,1,5.0,98.0,0.32
2024-12-12 23:45:00,2240007900,1,5.0,98.4,0.312
2024-12-12 23:50:00,2240007900,1,6.0,95.88,0.49
2024-12-12 23:55:00,2240007900,1,5.0,97.38,0.4125
2024-12-12 23:30:00,2240007900,2,18.0,90.38,1.475
2024-12-12 23:35:00,2240007900,2,20.0,92.8,1.302
2024-12-12 23:40:00,2240007900,2,13.0,91.2,0.864
2024-12-12 23:45:00,2240007900,2,21.0,89.0,1.394
2024-12-12 23:50:00,2240007900,2,18.0,92.38,1.4825
2024-12-12 23:55:00,2240007900,2,12.0,93.88,0.9775
2024-12-12 23:30:00,2240007900,3,13.0,87.5,1.1725
2024-12-12 23:35:00,2240007900,3,18.0,84.5,1.32
2024-12-12 23:40:00,2240007900,3,13.0,88.8,0.942
2024-12-12 23:45:00,2240007900,3,19.0,89.4,1.35
2024-12-12 23:50:00,2240007900,3,7.0,90.75,0.635
2024-12-12 23:55:00,2240007900,3,17.0,88.5,1.4475
2024-12-12 23:30:00,2240007900,4,5.0,98.38,0.3975
2024-12-12 23:35:00,2240007900,4,17.0,85.7,1.194
2024-12-12 23:40:00,2240007900,4,15.0,83.7,1.118
2024-12-12 23:45:00,2240007900,4,12.0,89.1,0.818
2024-12-12 23:50:00,2240007900,4,9.0,90.25,0.76
2024-12-12 23:55:00,2240007900,4,11.0,89.5,0.9575
2024-12-12 23:30:00,2240007900,5,8.0,95.25,0.6575
2024-12-12 23:35:00,2240007900,5,7.0,91.8,0.476
2024-12-12 23:40:00,2240007900,5,7.0,94.8,0.464
2024-12-12 23:45:00,2240007900,5,6.0,96.7,0.41
2024-12-12 23:50:00,2240007900,5,10.0,91.75,0.885
2024-12-12 23:55:00,2240007900,5,3.0,94.88,0.26
2024-12-12 23:30:00,2240009900,1,35.0,105.62,2.4925
2024-12-12 23:35:00,2240009900,1,44.0,103.3,2.688
2024-12-12 23:40:00,2240009900,1,27.0,106.6,1.544
2024-12-12 23:45:00,2240009900,1,29.0,99.0,1.836
2024-12-12 23:50:00,2240009900,1,20.0,103.88,1.495
2024-12-12 23:55:00,2240009900,1,18.0,107.62,1.2275
2024-12-12 23:30:00,2240009900,2,26.0,83.62,2.3875
2024-12-12 23:35:00,2240009900,2,26.0,83.3,1.986
2024-12-12 23:40:00,2240009900,2,34.0,83.9,2.52
2024-12-12 23:45:00,2240009900,2,29.0,86.6,2.18
2024-12-12 23:50:00,2240009900,2,22.0,83.12,1.9975
2024-12-12 23:55:00,2240009900,2,16.0,87.12,1.4475
2024-12-12 23:30:00,2240009900,3,1.0,89.5,0.465
2024-12-12 23:35:00,2240009900,3,0.0,0.0,0.0
2024-12-12 23:40:00,2240009900,3,0.0,0.0,0.0
2024-12-12 23:45:00,2240009900,3,0.0,0.0,0.0
2024-12-12 23:50:00,2240009900,3,0.0,0.0,0.0
2024-12-12 23:55:00,2240009900,3,0.0,0.0,0.0
2024-12-12 23:30:00,2240009900,4,0.0,0.0,0.0
2024-12-12 23:35:00,2240009900,4,0.0,0.0,0.0
2024-12-12 23:40:00,2240009900,4,0.0,0.0,0.0
2024-12-12 23:45:00,2240009900,4,0.0,0.0,0.0
