LINK_ID,lane,threshold
35.0,1,0.003368578
35.0,2,0.16808686
35.0,3,0.0037491035
35.0,4,0.039514445
36.0,1,0.0022600114
36.0,2,0.0022600114
36.0,3,0.0022600114
36.0,4,0.0022600114
36.0,5,0.0022600114
37.0,1,0.0027456095
37.0,2,0.0026884745
37.0,3,0.0027257355
38.0,1,0.003641043
38.0,2,0.0026149817
38.0,3,0.0036470057
38.0,4,0.0029253475
39.0,1,0.0027909835
39.0,2,0.008446815
39.0,3,0.0066400915
39.0,4,0.015387261
40.0,1,0.0037675432
40.0,2,0.0037983702
40.0,3,0.003281258
40.0,4,0.0041721403
41.0,1,0.0039911587
41.0,2,0.0064587183
41.0,3,0.0071824472
41.0,4,0.0034727876
41.0,5,0.003527138
42.0,1,0.0034977815
42.0,2,0.004324324
42.0,3,0.0031832585
42.0,4,0.003167212
42.0,5,0.0033868512
43.0,1,0.002668279
43.0,2,0.0027034855
44.0,1,0.0033833368
44.0,2,0.003926696
45.0,1,0.0028456128
45.0,2,15.403364
45.0,3,0.015949365
45.0,4,0.055051226
46.0,1,0.002437181
46.0,2,0.002474272
46.0,3,0.002474272
46.0,4,0.003453749
47.0,1,0.002857089
47.0,2,0.15529561
48.0,1,0.0024049298
48.0,2,0.0029293478
49.0,1,0.003036612
49.0,2,0.002959708
50.0,1,0.009786948
50.0,2,0.0035207395
51.0,1,0.0032186024
51.0,2,0.0031948045
51.0,3,0.0032051273
51.0,4,0.0032070777
51.0,5,0.0032633205
51.0,6,0.003359596
51.0,7,0.003229031
52.0,1,0.011475669
52.0,2,0.0075108996
52.0,3,0.012294031
52.0,4,0.0051789386
52.0,5,0.009297502
52.0,6,0.014934065
52.0,7,0.0035889642
52.0,8,0.0056235166
52.0,9,0.005795904
53.0,1,0.0029088354
53.0,2,0.002583437
53.0,3,0.41519368
53.0,4,0.46109527
54.0,1,0.0023739296
54.0,2,0.0026011837
54.0,3,0.0025010454
55.0,1,0.0036454645
55.0,2,0.002878609
55.0,3,0.003360953
55.0,4,0.003443009
56.0,1,0.005069663
56.0,2,0.0027068802
56.0,3,0.0028516948
56.0,4,0.0035940527
57.0,1,0.0024441294
57.0,2,0.003840123
57.0,3,0.00476326
57.0,4,0.0038174763
57.0,5,0.0036552476
57.0,6,0.003836341
57.0,7,0.003515596
57.0,8,0.0037696706
57.0,9,0.0044417987
58.0,1,0.0027806433
58.0,2,0.0027008376
59.0,1,0.0035135117
59.0,2,0.0035240762
59.0,3,0.0040393407
60.0,1,0.026399476
60.0,2,0.002913779
60.0,3,0.023694512
60.0,4,0.0040538423
61.0,1,0.0026850312
61.0,2,0.0024327466
61.0,3,0.0028260695
61.0,4,0.0031156035
62.0,1,0.007976768
62.0,2,0.0043954803
63.0,1,0.0027084763
63.0,2,0.0027129168
64.0,1,0.0030309719
64.0,2,0.0032062558
65.0,1,0.0034113019
65.0,2,0.0028899938
66.0,1,0.0048850123
66.0,2,0.0050754044
66.0,3,0.011054757
66.0,4,0.0034266687
67.0,1,0.33717823
67.0,2,0.034331266
67.0,3,0.0044084527
67.0,4,0.0057447567
68.0,1,0.004484515
68.0,2,0.008536399
69.0,1,0.01625597
69.0,2,0.0024980707
70.0,1,0.0029630817
71.0,1,0.0039949566
71.0,2,0.004274313
72.0,1,0.0037713845
72.0,2,0.0035755062
72.0,3,0.0028470682
72.0,4,0.064341746
73.0,1,0.0023227683
73.0,2,0.0032898406
73.0,3,0.0033832255
73.0,4,0.0071755885
74.0,1,0.0038685468
74.0,2,0.0030739363
74.0,3,0.004574281
74.0,4,0.095274016
75.0,1,0.0028359953
75.0,2,0.0032283664
75.0,3,0.0030997945
76.0,1,0.0029149079
76.0,2,0.0027574257
76.0,3,0.0031352954
76.0,4,0.0040490795
77.0,1,0.005564745
77.0,2,0.0068999673
77.0,3,0.05502673
78.0,1,0.0035306958
78.0,2,0.0058760345
78.0,3,0.0032073325
78.0,4,0.0032863554
79.0,1,0.003140011
79.0,2,0.0029382217
79.0,3,0.0028947145
80.0,1,0.0022186341
80.0,2,0.0030330848
80.0,3,0.0044238796
80.0,4,0.004052793
80.0,5,0.0039452785
81.0,1,0.005579229
81.0,2,0.0032321333
81.0,3,0.0046275216
81.0,4,0.003423071
82.0,1,0.0034926932
82.0,2,0.0045024557
83.0,1,0.004029588
83.0,2,0.0052570095
83.0,3,0.004255744
83.0,4,0.0032799507
84.0,1,0.0042913915
84.0,2,0.005707379
84.0,3,0.016194534
85.0,1,0.004343091
85.0,2,0.01220977
86.0,1,0.0037508246
87.0,1,0.0036441272
87.0,2,0.0035523244
87.0,3,0.022196991
88.0,1,0.0029332503
88.0,2,0.0039380644
88.0,3,0.0034444951
89.0,1,0.0049962522
89.0,2,0.0054087136
89.0,3,0.0041646417
89.0,4,0.005332443
90.0,1,0.0044895364
90.0,2,0.004239276
91.0,1,0.006393239
91.0,2,0.0025217389
92.0,1,0.012203519
92.0,2,0.005035128
93.0,1,0.0063714804
93.0,2,0.0034153748
94.0,1,0.005814226
94.0,2,0.0026953795
95.0,1,0.0031047268
95.0,2,0.0042091566
96.0,1,0.0030393736
97.0,1,0.002671252
98.0,1,0.005432111
98.0,2,0.025693208
99.0,1,0.0052201916
99.0,2,0.0034525967
100.0,1,0.0038817571
100.0,2,0.010122026
101.0,1,0.0027944832
101.0,2,0.0026891984
102.0,1,0.008105199
103.0,1,0.007569168
104.0,1,0.0068868734
104.0,2,0.0067807245
105.0,1,0.0034415706
106.0,1,0.0031112926
106.0,2,0.003032551
107.0,1,0.0025893666
107.0,2,0.0023897171
108.0,1,0.0041255965
109.0,1,0.003749851
110.0,1,0.0027387487
110.0,2,0.0031796305
111.0,1,0.002662698
111.0,2,0.0033825755
112.0,1,0.00462383
112.0,2,0.0027737657
112.0,3,0.0023343654
112.0,4,0.003071266
